Combination,Average Score
"쇼이치, 아이작, 유민",18.0
"쇼우, 쇼이치, 아이솔",12.714285714285714
"띠아, 아야, 피올로",11.75
"다니엘, 아비게일, 아야",33.0
"리다이린, 쇼이치, 혜진",8.0
"쇼이치, 아이작, 엠마",12.75
"루크, 매그너스, 아비게일",12.6
"가넷, 아이솔, 키아라",17.2
"띠아, 마이, 타지아",39.0
"띠아, 바냐, 재키",12.5
"가넷, 라우라, 자히르",22.833333333333332
"아델라, 일레븐, 자히르",26.5
"레녹스, 루크, 버니스",20.857142857142858
"나딘, 마이, 에이든",19.625
"셀린, 얀, 엠마",10.833333333333334
"마이, 아이작, 헤이즈",23.583333333333332
"데비와 마를렌, 카티야, 현우",17.84
"비앙카, 자히르, 키아라",15.0
"나타폰, 버니스, 일레븐",12.0
"라우라, 수아, 카티야",21.25
"가넷, 라우라, 키아라",34.0
"다르코, 수아, 피올로",40.0
"레녹스, 아이작, 테오도르",25.6
"가넷, 셀린, 츠바메",28.0
"띠아, 바바라, 에스텔",22.666666666666668
"아디나, 알렉스, 키아라",12.333333333333334
"바냐, 아이작, 혜진",16.0
"아이솔, 엘레나, 피오라",18.666666666666668
"데비와 마를렌, 버니스, 피올로",13.0
"유키, 일레븐, 카티야",8.5
"가넷, 카티야, 피오라",19.833333333333332
"다르코, 아이작, 재키",17.666666666666668
"데비와 마를렌, 아디나, 유키",22.928571428571427
"데비와 마를렌, 수아, 카티야",15.25
"루크, 리오, 피올로",13.0
"아이솔, 알렉스, 에이든",15.142857142857142
"데비와 마를렌, 로지, 아비게일",13.5
"데비와 마를렌, 아드리아나, 현우",13.090909090909092
"레니, 이안, 케네스",17.727272727272727
"가넷, 쇼이치, 캐시",33.5
"니키, 르노어, 피오라",24.25
"루크, 르노어, 캐시",15.88888888888889
"로지, 유키, 이렘",21.25
"띠아, 유키, 헤이즈",10.444444444444445
"리다이린, 알렉스, 재키",19.666666666666668
"마이, 쇼이치, 유민",14.5
"마커스, 매그너스, 카티야",9.222222222222221
"데비와 마를렌, 로지, 키아라",10.11111111111111
"마커스, 쇼이치, 혜진",7.0
"다니엘, 띠아, 루크",15.375
"루크, 바냐, 시셀라",15.909090909090908
"레녹스, 리오, 이렘",20.625
"루크, 아이솔, 케네스",17.181818181818183
"띠아, 아디나, 현우",14.666666666666666
"실비아, 엘레나, 키아라",23.0
"띠아, 루크, 카밀로",19.41176470588235
"쇼이치, 시셀라, 이렘",16.0
"알렉스, 케네스, 타지아",18.333333333333332
"마르티나, 아야, 아이작",24.5
"레녹스, 루크, 셀린",19.6
"레온, 리오, 샬럿",19.25
"마커스, 아르다, 에이든",16.0
"엠마, 카밀로, 카티야",3.5
"라우라, 리다이린, 카밀로",11.5
"니키, 띠아, 이바",17.666666666666668
"루크, 아야, 재키",15.133333333333333
"가넷, 엠마, 케네스",24.5
"라우라, 레녹스, 아델라",6.5
"나딘, 마이, 자히르",27.09090909090909
"니키, 리오, 카밀로",7.0
"가넷, 엠마, 피올로",30.0
"샬럿, 아야, 프리야",2.0
"샬럿, 아야, 일레븐",8.5
"바냐, 아야, 카밀로",12.25
"루크, 쇼이치, 캐시",9.545454545454545
"루크, 유민, 케네스",11.214285714285714
"마커스, 이안, 자히르",22.0
"레온, 카밀로, 키아라",24.0
"루크, 리오, 수아",21.470588235294116
"나타폰, 루크, 에이든",18.4
"리다이린, 리오, 프리야",19.0
"다르코, 로지, 에이든",22.75
"니키, 수아, 자히르",17.75
"르노어, 엘레나, 카티야",13.181818181818182
"이안, 캐시, 테오도르",6.0
"비앙카, 아이작, 유민",10.666666666666666
"데비와 마를렌, 쇼이치, 윌리엄",12.875
"마이, 버니스, 아비게일",14.6
"루크, 실비아, 아이솔",18.4
"데비와 마를렌, 리오, 엘레나",16.8
"데비와 마를렌, 알론소, 자히르",23.333333333333332
"알렉스, 제니, 현우",41.25
"얀, 이안, 헤이즈",13.88888888888889
"얀, 자히르, 케네스",20.625
"아디나, 엘레나, 칼라",15.0
"아야, 일레븐, 헤이즈",11.625
"레온, 쇼이치, 시셀라",9.333333333333334
"가넷, 나딘, 테오도르",6.333333333333333
"쇼우, 헤이즈, 현우",21.5
"츠바메, 케네스, 펠릭스",11.5
"띠아, 시셀라, 아야",23.0
"루크, 바냐, 쇼이치",14.714285714285714
"데비와 마를렌, 이안, 칼라",36.666666666666664
"다르코, 띠아, 유민",17.428571428571427
"리오, 윌리엄, 카티야",10.5
"바냐, 쇼이치, 일레븐",8.0
"띠아, 카밀로, 케네스",19.375
"다르코, 마커스, 아델라",27.75
"가넷, 다르코, 바냐",14.0
"알론소, 에키온, 헤이즈",22.0
"루크, 유민, 이렘",10.333333333333334
"바냐, 유키, 카티야",14.153846153846153
"마커스, 아르다, 아이솔",12.8
"레온, 루크, 아이솔",26.5
"유민, 유키, 펠릭스",25.5
"매그너스, 아디나, 캐시",9.666666666666666
"쇼이치, 카티야, 현우",20.666666666666668
"루크, 아이작, 유민",11.0
"시셀라, 아이솔, 엘레나",20.0
"나딘, 얀, 엘레나",13.0
"리다이린, 시셀라, 알론소",17.75
"데비와 마를렌, 루크, 츠바메",17.933333333333334
"레니, 아비게일, 캐시",11.222222222222221
"루크, 얀, 헤이즈",14.647058823529411
"알렉스, 카밀로, 피오라",25.5
"데비와 마를렌, 아드리아나, 에스텔",24.75
"로지, 알렉스, 엘레나",14.0
"마커스, 샬럿, 펠릭스",24.0
"리다이린, 시셀라, 얀",23.75
"샬럿, 수아, 키아라",14.142857142857142
"매그너스, 쇼이치, 아야",14.266666666666667
"아디나, 엘레나, 케네스",16.571428571428573
"리다이린, 실비아, 카티야",26.0
"띠아, 아디나, 재키",19.0
"시셀라, 아이솔, 아이작",27.8
"띠아, 카밀로, 피오라",26.0
"레니, 아르다, 카밀로",18.0
"가넷, 아이솔, 재키",21.692307692307693
"가넷, 나타폰, 루크",22.0
"얀, 이렘, 카밀로",10.4
"바바라, 쇼이치, 제니",4.0
"루크, 에이든, 이렘",21.75
"데비와 마를렌, 마이, 아드리아나",21.85
"데비와 마를렌, 쇼이치, 타지아",18.666666666666668
"마이, 버니스, 윌리엄",18.0
"아야, 카밀로, 캐시",33.333333333333336
"라우라, 마르티나, 아야",9.0
"가넷, 수아, 아드리아나",21.8
"라우라, 카티야, 케네스",23.23076923076923
"나딘, 라우라, 펠릭스",26.25
"마이, 쇼이치, 에키온",4.0
"데비와 마를렌, 마이, 자히르",24.95
"매그너스, 아르다, 유키",21.0
"띠아, 리오, 쇼이치",25.333333333333332
"매그너스, 바냐, 샬럿",15.5
"다니엘, 마이, 아야",15.222222222222221
"루크, 피오라, 혜진",27.5
"데비와 마를렌, 쇼우, 카티야",15.380952380952381
"마커스, 시셀라, 프리야",5.0
